sample_id,index,has_defect,dice,true_positive_pixels,false_positive_pixels,false_negative_pixels,predicted_pixels,valid_pixels,predicted_fraction,image_probability
train-10012,0,0,1.0,0,0,0,0,146970,0.0,0.5942794680595398
train-10013,1,0,0.0,0,135,0,135,147018,0.0009182549075623393,0.8896307945251465
train-10019,2,0,1.0,0,0,0,0,145858,0.0,0.385723352432251
train-10024,3,0,1.0,0,0,0,0,144440,0.0,0.7089804410934448
train-10026,4,0,1.0,0,0,0,0,147247,0.0,0.0623738132417202
train-10030,5,0,1.0,0,0,0,0,147784,0.0,0.015571276657283306
train-10032,6,0,0.0,0,303,0,303,147288,0.0020571940687632395,0.9677905440330505
train-10036,7,0,1.0,0,0,0,0,148302,0.0,0.7538802623748779
train-10038,8,0,1.0,0,0,0,0,145692,0.0,0.7616180777549744
train-10043,9,0,1.0,0,0,0,0,149457,0.0,0.283081978559494
train-10052,10,0,0.0,0,75,0,75,145299,0.0005161769867652221,0.9992204904556274
train-10061,11,0,0.0,0,13,0,13,146510,8.873114463176575e-05,0.911851704120636
train-10073,12,0,1.0,0,0,0,0,143412,0.0,0.432227224111557
train-10076,13,0,0.0,0,404,0,404,144728,0.0027914432590791,0.9792519211769104
train-10080,14,0,1.0,0,0,0,0,146510,0.0,0.5869334936141968
train-10081,15,0,1.0,0,0,0,0,147060,0.0,0.7619077563285828
train-10082,16,0,0.0,0,169,0,169,145530,0.0011612725898440183,0.9468830227851868
train-10102,17,0,1.0,0,0,0,0,147147,0.0,0.16840969026088715
train-10109,18,0,0.0,0,54,0,54,148071,0.00036468991227181556,0.9931557774543762
train-10116,19,0,1.0,0,0,0,0,144957,0.0,0.6004769802093506
train-10125,20,0,1.0,0,0,0,0,146148,0.0,0.07625612616539001
train-10126,21,0,1.0,0,0,0,0,144552,0.0,0.5686278343200684
train-10129,22,0,1.0,0,0,0,0,146856,0.0,0.08415228128433228
train-10130,23,0,0.0,0,159,0,159,145415,0.0010934222741807928,0.9944266080856323
train-10134,24,0,1.0,0,0,0,0,145236,0.0,0.07575473189353943
train-10144,25,0,1.0,0,0,0,0,147840,0.0,0.016348768025636673
train-10150,26,0,1.0,0,0,0,0,144957,0.0,0.38792312145233154
train-10156,27,0,1.0,0,0,0,0,136728,0.0,0.006911541800945997
train-10168,28,0,0.0,0,185,0,185,144096,0.0012838663113479902,0.9271540641784668
train-10172,29,0,1.0,0,0,0,0,148392,0.0,0.040484216064214706
train-10175,30,0,0.0,0,67,0,67,146331,0.0004578660707573925,0.9002493619918823
train-10178,31,0,0.0,0,257,0,257,144728,0.001775744845503289,0.9464507699012756
train-10179,32,0,0.0,0,284,0,284,146050,0.0019445395412529955,0.9737938642501831
train-10184,33,0,1.0,0,0,0,0,146392,0.0,0.6636479496955872
train-10188,34,0,0.0,0,1,0,1,148480,6.734913793103448e-06,0.8500199317932129
train-10190,35,0,0.0,0,49,0,49,146685,0.00033404915294679076,0.917717695236206
train-10195,36,0,1.0,0,0,0,0,143583,0.0,0.6298313736915588
train-10199,37,0,1.0,0,0,0,0,144440,0.0,0.7647630572319031
train-10200,38,0,0.0,0,146,0,146,145186,0.0010056066011874423,0.9329641461372375
train-10210,39,0,1.0,0,0,0,0,147840,0.0,0.7813072204589844
train-10215,40,0,1.0,0,0,0,0,145644,0.0,0.3609394431114197
train-10219,41,0,1.0,0,0,0,0,145692,0.0,0.03448852524161339
train-10224,42,0,1.0,0,0,0,0,146331,0.0,0.28101080656051636
train-10225,43,0,0.0,0,14,0,14,145873,9.597389510053266e-05,0.9410068988800049
train-10226,44,0,0.0,0,24,0,24,148580,0.0001615291425494683,0.9757311940193176
train-10236,45,0,1.0,0,0,0,0,145008,0.0,0.154926136136055
train-10248,46,0,1.0,0,0,0,0,148120,0.0,0.3039458990097046
train-10256,47,0,0.0,0,256,0,256,142329,0.0017986496075992947,0.9408513307571411
train-10265,48,0,0.0,0,30,0,30,143060,0.00020970222284356213,0.986929178237915
train-10268,49,0,1.0,0,0,0,0,148810,0.0,0.011823395267128944
train-10271,50,0,1.0,0,0,0,0,145360,0.0,0.010209054686129093
train-10274,51,0,1.0,0,0,0,0,145415,0.0,0.6408606171607971
train-10277,52,0,1.0,0,0,0,0,145360,0.0,0.46082067489624023
train-10284,53,0,0.0,0,28,0,28,137172,0.00020412329046744235,0.9806215167045593
train-10286,54,0,0.0,0,117,0,117,146148,0.0008005583381229986,0.9979017972946167
train-10288,55,0,1.0,0,0,0,0,142832,0.0,0.17534776031970978
train-10294,56,0,1.0,0,0,0,0,141928,0.0,0.3479067087173462
train-10298,57,0,1.0,0,0,0,0,144499,0.0,0.6449406147003174
train-10309,58,1,0.8693187673915284,33740,873,9271,34613,144145,0.24012626175032087,0.9707270860671997
train-10314,59,0,1.0,0,0,0,0,147552,0.0,0.2824198007583618
train-10322,60,0,1.0,0,0,0,0,146050,0.0,0.15285557508468628
train-10333,61,0,0.0,0,121,0,121,145464,0.0008318209316394435,0.9343163371086121
train-10336,62,0,0.0,0,65,0,65,144096,0.00045108816344659116,0.9890557527542114
train-10344,63,1,0.5685547908946532,537,77,738,614,145820,0.004210670689891647,0.9929526448249817
train-10357,64,0,0.0,0,82,0,82,149872,0.000547133553966051,0.9920634627342224
train-10358,65,0,1.0,0,0,0,0,144225,0.0,0.014969335868954659
train-10361,66,0,0.0,0,167,0,167,145873,0.0011448314629849252,0.9736605882644653
train-10364,67,0,0.0,0,289,0,289,147186,0.0019635019635019634,0.97658371925354
train-10370,68,0,0.0,0,383,0,383,146740,0.0026100586070601063,0.9677948951721191
train-10375,69,0,0.0,0,9,0,9,144599,6.224109433675198e-05,0.8797357082366943
train-10397,70,0,0.0,0,56,0,56,145360,0.00038525041276829937,0.9061759114265442
train-10399,71,0,1.0,0,0,0,0,144728,0.0,0.5205020308494568
train-10408,72,0,1.0,0,0,0,0,146510,0.0,0.7448433041572571
train-10410,73,0,1.0,0,0,0,0,145053,0.0,0.44079652428627014
train-10411,74,0,0.0,0,1122,0,1122,141702,0.007918025151374011,0.9937461614608765
train-10415,75,0,0.0,0,191,0,191,143412,0.001331827183220372,0.9191302061080933
train-10423,76,1,0.8289413556740289,2721,953,170,3674,147840,0.024851190476190475,1.0
train-10426,77,1,0.8367680732744521,1279,229,270,1508,146560,0.010289301310043669,1.0
train-10431,78,0,1.0,0,0,0,0,146331,0.0,0.020980557426810265
train-10440,79,0,1.0,0,0,0,0,146188,0.0,0.44943898916244507
train-10441,80,0,0.0,0,39,0,39,150052,0.0002599098979020606,0.8689277768135071
train-10443,81,0,1.0,0,0,0,0,147476,0.0,0.011979770846664906
train-10463,82,0,1.0,0,0,0,0,149526,0.0,0.6677629947662354
train-10466,83,1,0.9193429036554684,3106,296,249,3402,140160,0.024272260273972602,0.9999997615814209
train-10468,84,0,1.0,0,0,0,0,148654,0.0,0.27936944365501404
train-10473,85,0,1.0,0,0,0,0,130192,0.0,0.31381943821907043
train-10477,86,0,1.0,0,0,0,0,147378,0.0,0.3320220410823822
train-10496,87,0,1.0,0,0,0,0,146604,0.0,0.7591421008110046
train-10499,88,1,0.8744637194553255,2344,357,316,2701,141264,0.019120228791482615,0.9999982118606567
train-10528,89,0,1.0,0,0,0,0,145236,0.0,0.3350660502910614
train-10534,90,0,1.0,0,0,0,0,144499,0.0,0.14828751981258392
train-10537,91,0,0.0,0,455,0,455,144499,0.003148810718413276,0.9716837406158447
train-10539,92,0,1.0,0,0,0,0,146624,0.0,0.3090183734893799
train-10544,93,0,0.0,0,649,0,649,144640,0.004487002212389381,0.9990472197532654
train-10547,94,0,0.0,0,10,0,10,145280,6.883259911894274e-05,0.9324336051940918
train-10555,95,0,1.0,0,0,0,0,144499,0.0,0.3245914578437805
train-10557,96,1,0.9070403280929596,1327,165,107,1492,142875,0.010442694663167103,0.9999995231628418
train-10559,97,0,1.0,0,0,0,0,145415,0.0,0.16114281117916107
train-10562,98,0,1.0,0,0,0,0,144837,0.0,0.7576562762260437
train-10563,99,0,0.0,0,18,0,18,145761,0.00012348982238047213,0.9399023652076721
train-10598,100,0,1.0,0,0,0,0,143284,0.0,0.435695081949234
train-10600,101,0,0.0,0,49,0,49,147955,0.00033118177824338483,0.9946574568748474
train-10601,102,0,1.0,0,0,0,0,147784,0.0,0.06361958384513855
train-10618,103,1,0.8417244498040398,1396,183,342,1579,145008,0.010889054396998787,1.0
train-10633,104,0,1.0,0,0,0,0,142425,0.0,0.7641516327857971
