sample_id,index,has_defect,dice,true_positive_pixels,false_positive_pixels,false_negative_pixels,predicted_pixels,valid_pixels,predicted_fraction,image_probability
train-10012,0,0,1.0,0,0,0,0,146970,0.0,1.767910180205945e-05
train-10013,1,0,1.0,0,0,0,0,147018,0.0,1.1089168765465729e-06
train-10019,2,0,1.0,0,0,0,0,145858,0.0,1.7495665815658867e-05
train-10024,3,0,1.0,0,0,0,0,144440,0.0,8.944649607656174e-07
train-10026,4,0,1.0,0,0,0,0,147247,0.0,8.988972126644512e-07
train-10030,5,0,1.0,0,0,0,0,147784,0.0,7.275883717738907e-07
train-10032,6,0,1.0,0,0,0,0,147288,0.0,7.14211296326539e-07
train-10036,7,0,1.0,0,0,0,0,148302,0.0,1.7855147234513424e-05
train-10038,8,0,1.0,0,0,0,0,145692,0.0,0.00015839059778954834
train-10043,9,0,1.0,0,0,0,0,149457,0.0,5.280867753754137e-06
train-10052,10,0,1.0,0,0,0,0,145299,0.0,0.23890629410743713
train-10061,11,0,1.0,0,0,0,0,146510,0.0,5.04235856624291e-07
train-10073,12,0,1.0,0,0,0,0,143412,0.0,7.52489313526894e-07
train-10076,13,0,1.0,0,0,0,0,144728,0.0,7.19234230928123e-06
train-10080,14,0,1.0,0,0,0,0,146510,0.0,8.2215711927347e-07
train-10081,15,0,1.0,0,0,0,0,147060,0.0,9.886190355246072e-07
train-10082,16,0,1.0,0,0,0,0,145530,0.0,1.4979675597714959e-06
train-10102,17,0,1.0,0,0,0,0,147147,0.0,1.3541234693548176e-06
train-10109,18,0,1.0,0,0,0,0,148071,0.0,1.020031140797073e-05
train-10116,19,0,1.0,0,0,0,0,144957,0.0,2.062131670754752e-06
train-10125,20,0,1.0,0,0,0,0,146148,0.0,1.3083798648949596e-06
train-10126,21,0,1.0,0,0,0,0,144552,0.0,1.1316448080833652e-06
train-10129,22,0,1.0,0,0,0,0,146856,0.0,1.4681525044579757e-06
train-10130,23,0,1.0,0,0,0,0,145415,0.0,6.811896309955046e-05
train-10134,24,0,1.0,0,0,0,0,145236,0.0,8.600902674515964e-07
train-10144,25,0,1.0,0,0,0,0,147840,0.0,6.431706651710556e-07
train-10150,26,0,1.0,0,0,0,0,144957,0.0,7.466091460628377e-07
train-10156,27,0,1.0,0,0,0,0,136728,0.0,1.4739197240487556e-06
train-10168,28,0,1.0,0,0,0,0,144096,0.0,1.0999032156178146e-06
train-10172,29,0,1.0,0,0,0,0,148392,0.0,1.988772419281304e-05
train-10175,30,0,1.0,0,0,0,0,146331,0.0,0.00010694434604374692
train-10178,31,0,1.0,0,0,0,0,144728,0.0,8.177063932635065e-07
train-10179,32,0,1.0,0,0,0,0,146050,0.0,3.6162086871627253e-06
train-10184,33,0,1.0,0,0,0,0,146392,0.0,3.2573163480265066e-05
train-10188,34,0,1.0,0,0,0,0,148480,0.0,8.964257176558021e-07
train-10190,35,0,1.0,0,0,0,0,146685,0.0,0.18035969138145447
train-10195,36,0,1.0,0,0,0,0,143583,0.0,1.5935321471260977e-06
train-10199,37,0,1.0,0,0,0,0,144440,0.0,1.3492109474100289e-06
train-10200,38,0,1.0,0,0,0,0,145186,0.0,7.865650104577071e-07
train-10210,39,0,1.0,0,0,0,0,147840,0.0,2.9199632081144955e-06
train-10215,40,0,1.0,0,0,0,0,145644,0.0,5.861220415681601e-07
train-10219,41,0,1.0,0,0,0,0,145692,0.0,1.2162179245933658e-06
train-10224,42,0,1.0,0,0,0,0,146331,0.0,2.5977510631491896e-06
train-10225,43,0,1.0,0,0,0,0,145873,0.0,7.547043310296431e-07
