sample_id,index,has_defect,dice,true_positive_pixels,false_positive_pixels,false_negative_pixels,predicted_pixels,valid_pixels,predicted_fraction,image_probability
train-10012,0,0,1.0,0,0,0,0,146970,0.0,1.6220212728512706e-07
train-10013,1,0,1.0,0,0,0,0,147018,0.0,1.0299366692834155e-07
train-10019,2,0,1.0,0,0,0,0,145858,0.0,3.510619706048601e-07
train-10024,3,0,1.0,0,0,0,0,144440,0.0,1.2548937888823275e-07
train-10026,4,0,1.0,0,0,0,0,147247,0.0,1.1291421486703257e-07
train-10030,5,0,1.0,0,0,0,0,147784,0.0,1.222336010187064e-07
train-10032,6,0,1.0,0,0,0,0,147288,0.0,1.3851105507001193e-07
train-10036,7,0,1.0,0,0,0,0,148302,0.0,1.392729700455675e-07
train-10038,8,0,1.0,0,0,0,0,145692,0.0,1.6631616972517804e-07
train-10043,9,0,1.0,0,0,0,0,149457,0.0,1.550237271885635e-07
train-10052,10,0,1.0,0,0,0,0,145299,0.0,0.00011061159602832049
train-10061,11,0,1.0,0,0,0,0,146510,0.0,9.476411122477657e-08
train-10073,12,0,1.0,0,0,0,0,143412,0.0,1.23100448945479e-07
train-10076,13,0,1.0,0,0,0,0,144728,0.0,1.795840489648981e-07
train-10080,14,0,1.0,0,0,0,0,146510,0.0,1.194590169006915e-07
train-10081,15,0,1.0,0,0,0,0,147060,0.0,1.3485583849615068e-07
train-10082,16,0,1.0,0,0,0,0,145530,0.0,1.1341779071472047e-07
train-10102,17,0,1.0,0,0,0,0,147147,0.0,1.235956972323038e-07
train-10109,18,0,1.0,0,0,0,0,148071,0.0,5.203571049605671e-07
train-10116,19,0,1.0,0,0,0,0,144957,0.0,1.255420443158073e-07
train-10125,20,0,1.0,0,0,0,0,146148,0.0,6.719781708852679e-08
train-10126,21,0,1.0,0,0,0,0,144552,0.0,1.1793583354346993e-07
train-10129,22,0,1.0,0,0,0,0,146856,0.0,8.628370551377884e-08
train-10130,23,0,1.0,0,0,0,0,145415,0.0,1.4908485468367871e-07
train-10134,24,0,1.0,0,0,0,0,145236,0.0,1.5204459202777798e-07
train-10144,25,0,1.0,0,0,0,0,147840,0.0,9.551828128451234e-08
train-10150,26,0,1.0,0,0,0,0,144957,0.0,9.767122577386544e-08
train-10156,27,0,1.0,0,0,0,0,136728,0.0,1.0596267685514249e-07
train-10168,28,0,1.0,0,0,0,0,144096,0.0,1.1852778669663167e-07
train-10172,29,0,1.0,0,0,0,0,148392,0.0,1.3033732670919562e-07
train-10175,30,0,1.0,0,0,0,0,146331,0.0,1.0564180996652794e-07
train-10178,31,0,1.0,0,0,0,0,144728,0.0,1.1810229239017644e-07
train-10179,32,0,1.0,0,0,0,0,146050,0.0,9.534682021694607e-08
train-10184,33,0,1.0,0,0,0,0,146392,0.0,1.7648298467065615e-07
train-10188,34,0,1.0,0,0,0,0,148480,0.0,9.978528936471776e-08
train-10190,35,0,1.0,0,0,0,0,146685,0.0,2.0073940731890616e-07
train-10195,36,0,1.0,0,0,0,0,143583,0.0,1.1782791631276268e-07
